text,intent
I need a doctor consultation right now,doctor_booking
Hey Exercise suggest koro today,exercise_suggestion
Today mujhe healthy diet chahiye for me,diet_suggestion
Today Nobody talks to me anymore please,emotional_support
Hey Please remind me to take my pills right now,medication_reminder
Please can you help me visit a doctor as soon as possible,doctor_booking
Kindly how can i stay active for me,exercise_suggestion
Today Recommend diabetic diet for me,diet_suggestion
Can you I need transport assistance today,transport_booking
Hey I am feeling ignored by everyone right now,emotional_support
Urgently Please remind me to take my pills today,medication_reminder
Now I need medical consultation because I need help,doctor_booking
Today Recommend light exercise right now,exercise_suggestion
Today Recommend balanced diet today,diet_suggestion
Hey I feel nervous and anxious today,emotional_support
Now I forgot to take my tablets today,medication_reminder
Today doctor appointment book koro please,doctor_booking
Can you Recommend light exercise today,exercise_suggestion
Please How can I improve nutrition right now,diet_suggestion
Today Help me travel to doctor clinic,transport_booking
Urgently Nobody talks to me anymore right now,emotional_support
Please remind me about medicines please,medication_reminder
Urgently I need a doctor consultation right now,doctor_booking
Please How can I improve mobility right now,exercise_suggestion
Urgently Recommend nutrition plan because I need help,diet_suggestion
Kindly Help me arrange transportation right now,transport_booking
Can you I feel lonely today because I need help,emotional_support
Today Please remind me about medicines as soon as possible,medication_reminder
Please I need a doctor consultation please,doctor_booking
How can I stay active because I need help,exercise_suggestion
Can you Suggest diabetic diet as soon as possible,diet_suggestion
Urgently i need help reaching hospital for me,transport_booking
Urgently I feel isolated please,emotional_support
Please I forgot my blood pressure medicine today,medication_reminder
Today I want to schedule a health checkup for me,doctor_booking
Can you Suggest chair yoga for seniors,exercise_suggestion
Urgently What foods improve energy for me,diet_suggestion
Today I need help reaching hospital for me,transport_booking
Can you I need someone to talk to today,emotional_support
Can you Please remind me about medicines right now,medication_reminder
Today mujhe doctor appointment chahiye because i need help,doctor_booking
Kindly Recommend light exercise as soon as possible,exercise_suggestion
Kindly What should I eat for good health,diet_suggestion
Today I need help reaching hospital,transport_booking
I feel very unhappy today because i need help,emotional_support
Can you Please remind me to take my pills as soon as possible,medication_reminder
Can you Doctor appointment book koro because I need help,doctor_booking
Now Recommend simple exercise for me today,exercise_suggestion
Recommend healthy food for elderly,diet_suggestion
Please Help me arrange transportation today,transport_booking
Kindly I miss my family for me,emotional_support
Kindly Please remind me to take my pills as soon as possible,medication_reminder
Please Mujhe doctor appointment chahiye,doctor_booking
Now Recommend simple exercise for me as soon as possible,exercise_suggestion
Kindly Recommend balanced diet as soon as possible,diet_suggestion
Now Transport arrange koro please,transport_booking
Today I need someone to talk to,emotional_support
Can you please remind me to take my pills because i need help,medication_reminder
Kindly Doctor appointment book koro please,doctor_booking
Kindly Can elderly people do stretching for me,exercise_suggestion
Please how can i improve nutrition because i need help,diet_suggestion
Kindly Help me travel to doctor clinic please,transport_booking
I feel anxious about my health for me,emotional_support
Urgently I forgot to take my tablets,medication_reminder
Suggest chair yoga for seniors,exercise_suggestion
Hey recommend nutrition plan,diet_suggestion
Today I need help reaching hospital right now,transport_booking
Urgently I feel emotionally weak for me,emotional_support
Now Please remind me about medicines for me,medication_reminder
Please Mujhe doctor appointment chahiye today,doctor_booking
Today Recommend light exercise please,exercise_suggestion
Kindly Mujhe healthy diet chahiye please,diet_suggestion
Help me arrange transportation today,transport_booking
Kindly I feel isolated right now,emotional_support
Hey When should I take insulin as soon as possible,medication_reminder
Can you Please help me contact a doctor for me,doctor_booking
Now Recommend diabetic diet please,diet_suggestion
Please I need transport assistance today,transport_booking
Urgently I am feeling emotionally broken because I need help,emotional_support
Today I forgot my blood pressure medicine please,medication_reminder
Can you help me visit a doctor because i need help,doctor_booking
Please Suggest chair yoga for seniors as soon as possible,exercise_suggestion
Urgently Mujhe healthy diet chahiye right now,diet_suggestion
Hey Book transport for hospital visit as soon as possible,transport_booking
Now I forgot to take my tablets as soon as possible,medication_reminder
Urgently Can elderly people do stretching as soon as possible,exercise_suggestion
Now suggest soft food for elderly please,diet_suggestion
Now mujhe hospital jane ke liye cab chahiye as soon as possible,transport_booking
Today I need someone to talk to right now,emotional_support
Please remind me about medicines for me,medication_reminder
Now Mujhe doctor appointment chahiye right now,doctor_booking
Today Exercise suggest koro today,exercise_suggestion
Today what foods improve energy because i need help,diet_suggestion
Help me arrange transportation right now,transport_booking
I feel depressed today please,emotional_support
Hey I forgot to take my tablets for me,medication_reminder
Can you Please help me contact a doctor,doctor_booking
Can you Exercise suggest koro right now,exercise_suggestion
Today Recommend nutrition plan right now,diet_suggestion
Can you book cab for hospital for me,transport_booking
Kindly I feel nervous and anxious right now,emotional_support
Now i forgot to take my tablets,medication_reminder
Can you mujhe doctor appointment chahiye today,doctor_booking
Kindly Recommend simple exercise for me,exercise_suggestion
Can you Recommend healthy food for elderly right now,diet_suggestion
Today Can you book cab for hospital right now,transport_booking
Urgently i feel nervous and anxious please,emotional_support
Kindly Please remind me about medicines please,medication_reminder
Please Book doctor appointment for me for me,doctor_booking
Now Suggest walking exercises right now,exercise_suggestion
Urgently Healthy khabar suggest koro today,diet_suggestion
Today I am feeling isolated right now,emotional_support
Now medicine khete bhule gechi please,medication_reminder
I want to schedule a health checkup for me,doctor_booking
Now How can I stay active,exercise_suggestion
I need help reaching hospital as soon as possible,transport_booking
Hey I feel ignored by everyone please,emotional_support
I need medicine reminder support as soon as possible,medication_reminder
Today doctor appointment book koro,doctor_booking
Hey Recommend simple exercise for me as soon as possible,exercise_suggestion
Urgently how can i improve nutrition,diet_suggestion
Now I need transport assistance as soon as possible,transport_booking
Hey i feel mentally stressed right now,emotional_support
Today Please remind me about medicines,medication_reminder
Today Can you help me visit a doctor right now,doctor_booking
Today How can I stay active right now,exercise_suggestion
Healthy khabar suggest koro,diet_suggestion
Urgently Help me travel to doctor clinic,transport_booking
I am feeling emotionally down as soon as possible,emotional_support
Hey I need medicine reminder support because I need help,medication_reminder
Kindly I need medical consultation,doctor_booking
Hey Recommend light exercise for me,exercise_suggestion
Now Suggest diabetic diet right now,diet_suggestion
Kindly Book transport for hospital visit right now,transport_booking
Now I feel worried about my future as soon as possible,emotional_support
Today Please remind me to take my pills because I need help,medication_reminder
Doctor appointment book koro please,doctor_booking
Urgently How can I stay active because I need help,exercise_suggestion
Urgently Mujhe healthy diet chahiye as soon as possible,diet_suggestion
Today I miss my family today,emotional_support
Urgently Please remind me to take my pills right now,medication_reminder
Can you Suggest yoga for elderly today,exercise_suggestion
Please Recommend nutrition plan right now,diet_suggestion
I need help reaching hospital because I need help,transport_booking
Can you Nobody talks to me anymore because I need help,emotional_support
Kindly Remind me to take my medicine today,medication_reminder
I need medical consultation please,doctor_booking
Please Recommend yoga for elderly as soon as possible,exercise_suggestion
Healthy khabar suggest koro because I need help,diet_suggestion
Urgently I need help reaching hospital please,transport_booking
Kindly I feel depressed today for me,emotional_support
Kindly I missed my diabetes tablet right now,medication_reminder
Hey Exercise suggest koro for me,exercise_suggestion
Please Can you book cab for hospital because I need help,transport_booking
Urgently I am feeling worried about my future because I need help,emotional_support
Hey I need medicine reminder support please,medication_reminder
Now Mujhe doctor appointment chahiye because I need help,doctor_booking
Hey suggest walking exercises because i need help,exercise_suggestion
Today Recommend soft food for elderly for me,diet_suggestion
Kindly can you book cab for hospital please,transport_booking
I feel isolated for me,emotional_support
Now Please remind me about medicines today,medication_reminder
Please Doctor appointment book koro today,doctor_booking
Please Recommend light exercise today,exercise_suggestion
What should i eat for good health for me,diet_suggestion
Today Help me travel to doctor clinic today,transport_booking
Kindly I miss my family because I need help,emotional_support
Kindly Mujhe medicine lena yaad dilao because I need help,medication_reminder
Doctor appointment book koro because I need help,doctor_booking
Hey Suggest walking exercises today,exercise_suggestion
Please What should I eat for good health,diet_suggestion
Hey Nobody talks to me anymore because I need help,emotional_support
Kindly Remind me to take my medicine right now,medication_reminder
Today Mujhe doctor appointment chahiye please,doctor_booking
Now Suggest walking exercises as soon as possible,exercise_suggestion
Now Recommend nutrition plan right now,diet_suggestion
Today Help me travel to doctor clinic because I need help,transport_booking
I feel nervous and anxious please,emotional_support
Please I forgot to take my tablets right now,medication_reminder
Hey I need medical consultation as soon as possible,doctor_booking
Please Recommend balanced diet,diet_suggestion
Can you book cab for hospital please,transport_booking
Hey I feel lonely today please,emotional_support
Urgently Mujhe doctor appointment chahiye today,doctor_booking
Exercise suggest koro today,exercise_suggestion
Hey Mujhe healthy diet chahiye as soon as possible,diet_suggestion
Please Help me arrange transportation as soon as possible,transport_booking
Kindly I feel scared about my condition please,emotional_support
Today I forgot to take my tablets as soon as possible,medication_reminder
Please Suggest healthy food for elderly,diet_suggestion
Now Book transport for hospital visit please,transport_booking
Hey I feel lonely today right now,emotional_support
I need medicine reminder support because I need help,medication_reminder
Please Book doctor appointment for me right now,doctor_booking
Now Recommend simple exercise for me,exercise_suggestion
Kindly How can I improve nutrition please,diet_suggestion
Now Transport arrange koro for me,transport_booking
Urgently I feel sad and alone because I need help,emotional_support
Can you remind me to take my medicine today,medication_reminder
Kindly Book doctor appointment for me for me,doctor_booking
Can you How can I improve mobility right now,exercise_suggestion
Recommend balanced diet as soon as possible,diet_suggestion
Kindly Book transport for hospital visit,transport_booking
Can you I need someone to talk to as soon as possible,emotional_support
Today Mujhe medicine lena yaad dilao today,medication_reminder
Today i need a doctor consultation for me,doctor_booking
Now How can I improve mobility,exercise_suggestion
Suggest soft food for elderly please,diet_suggestion
Urgently I miss my family please,emotional_support
Today Mujhe medicine lena yaad dilao as soon as possible,medication_reminder
Urgently Mujhe doctor appointment chahiye for me,doctor_booking
Now recommend simple exercise for me for me,exercise_suggestion
Today Recommend balanced diet,diet_suggestion
Hey I need transport assistance right now,transport_booking
Urgently I feel depressed today as soon as possible,emotional_support
Urgently Mujhe medicine lena yaad dilao today,medication_reminder
Hey Please help me contact a doctor today,doctor_booking
Now Exercise suggest koro,exercise_suggestion
Kindly Mujhe hospital jane ke liye cab chahiye today,transport_booking
Hey I feel very unhappy today as soon as possible,emotional_support
Hey I forgot my blood pressure medicine right now,medication_reminder
Book doctor appointment for me because I need help,doctor_booking
Now Recommend light exercise because I need help,exercise_suggestion
Now Recommend nutrition plan,diet_suggestion
Now Help me travel to doctor clinic right now,transport_booking
Can you I feel nervous and anxious for me,emotional_support
Please I need medicine reminder support right now,medication_reminder
Now Mujhe doctor appointment chahiye for me,doctor_booking
Hey Recommend simple exercise for me today,exercise_suggestion
Kindly How can I improve nutrition as soon as possible,diet_suggestion
Can you I need transport assistance,transport_booking
Hey I feel ignored by everyone right now,emotional_support
Today i forgot to take my tablets for me,medication_reminder
Can you Mujhe doctor appointment chahiye because I need help,doctor_booking
Kindly Recommend simple exercise for me right now,exercise_suggestion
Now Suggest diabetic diet because I need help,diet_suggestion
Hey Book transport for hospital visit today,transport_booking
Urgently I feel isolated,emotional_support
Today please help me contact a doctor right now,doctor_booking
Exercise suggest koro right now,exercise_suggestion
Can you Recommend balanced diet because I need help,diet_suggestion
Today Help me arrange transportation because I need help,transport_booking
Now I am feeling helpless today today,emotional_support
Kindly Please remind me about medicines today,medication_reminder
Today Book doctor appointment for me for me,doctor_booking
Recommend simple exercise for me today,exercise_suggestion
Kindly Suggest soft food for elderly for me,diet_suggestion
Urgently Book transport for hospital visit please,transport_booking
Can you I am feeling very unhappy today right now,emotional_support
Please Medicine khete bhule gechi,medication_reminder
Hey I need a doctor consultation as soon as possible,doctor_booking
Recommend light exercise,exercise_suggestion
Hey Help me arrange transportation,transport_booking
Kindly I feel depressed today as soon as possible,emotional_support
Can you Please remind me to take my pills please,medication_reminder
Kindly Doctor appointment book koro because I need help,doctor_booking
Now Suggest walking exercises today,exercise_suggestion
What foods improve energy for me,diet_suggestion
Today transport arrange koro today,transport_booking
I miss my family because i need help,emotional_support
Now Please remind me to take my pills please,medication_reminder
Urgently Mujhe doctor appointment chahiye as soon as possible,doctor_booking
Please Exercise suggest koro for me,exercise_suggestion
Kindly What should I eat for good health today,diet_suggestion
Urgently help me arrange transportation please,transport_booking
Urgently I feel emotionally broken for me,emotional_support
Urgently Mujhe medicine lena yaad dilao because I need help,medication_reminder
Please Suggest chair yoga for seniors for me,exercise_suggestion
Kindly What foods improve energy today,diet_suggestion
Can you I need transport assistance as soon as possible,transport_booking
Kindly I feel mentally stressed for me,emotional_support
Today I forgot to take my tablets because I need help,medication_reminder
Hey please help me contact a doctor for me,doctor_booking
Today Mujhe exercise suggest karo today,exercise_suggestion
Hey What should I eat for good health right now,diet_suggestion
Please I feel scared about my condition,emotional_support
Hey I forgot my blood pressure medicine today,medication_reminder
Today Book doctor appointment for me as soon as possible,doctor_booking
Kindly exercise suggest koro,exercise_suggestion
Can you recommend balanced diet for me,diet_suggestion
Urgently Help me travel to doctor clinic because I need help,transport_booking
Can you I need someone to talk to because I need help,emotional_support
Can you When should I take insulin right now,medication_reminder
Urgently Recommend light exercise because I need help,exercise_suggestion
Can you suggest diabetic diet today,diet_suggestion
Can you Help me arrange transportation for me,transport_booking
Urgently I feel emotionally broken please,emotional_support
Please i forgot my blood pressure medicine as soon as possible,medication_reminder
I need a doctor consultation today,doctor_booking
Today Can elderly people do stretching please,exercise_suggestion
Hey What should I eat for good health because I need help,diet_suggestion
Please Can you book cab for hospital today,transport_booking
Now Nobody talks to me anymore please,emotional_support
Hey Can you help me visit a doctor,doctor_booking
Urgently Suggest chair yoga for seniors,exercise_suggestion
Today Suggest healthy food for elderly please,diet_suggestion
Can you book cab for hospital as soon as possible,transport_booking
Hey I am feeling isolated please,emotional_support
Please Medicine khete bhule gechi as soon as possible,medication_reminder
Can you Doctor appointment book koro please,doctor_booking
Kindly Recommend yoga for elderly because I need help,exercise_suggestion
Now How can I improve nutrition because I need help,diet_suggestion
Kindly I need transport assistance because I need help,transport_booking
Kindly I am feeling mentally exhausted please,emotional_support
Can you Can you help me visit a doctor please,doctor_booking
Today Recommend light exercise,exercise_suggestion
Can you What should I eat for good health please,diet_suggestion
Hey Book transport for hospital visit,transport_booking
Now I am feeling emotionally broken right now,emotional_support
Please Please remind me about medicines today,medication_reminder
I need a doctor consultation for me,doctor_booking
Kindly Suggest walking exercises please,exercise_suggestion
Urgently What should I eat for good health,diet_suggestion
Kindly I need help reaching hospital for me,transport_booking
Nobody talks to me anymore for me,emotional_support
Mujhe medicine lena yaad dilao for me,medication_reminder
Urgently Can you help me visit a doctor as soon as possible,doctor_booking
Hey How can I improve mobility because I need help,exercise_suggestion
Can you Suggest healthy food for elderly as soon as possible,diet_suggestion
Today I feel very unhappy today right now,emotional_support
Hey medicine khete bhule gechi for me,medication_reminder
Today Please help me contact a doctor,doctor_booking
Hey Suggest walking exercises as soon as possible,exercise_suggestion
Now Suggest diabetic diet as soon as possible,diet_suggestion
Kindly I feel emotionally broken right now,emotional_support
Urgently I forgot to take my tablets please,medication_reminder
Today Can elderly people do stretching because I need help,exercise_suggestion
Please Suggest healthy food for elderly please,diet_suggestion
Can you Mujhe hospital jane ke liye cab chahiye as soon as possible,transport_booking
Urgently I cannot sleep because of stress as soon as possible,emotional_support
Today I forgot to take my tablets please,medication_reminder
Hey Mujhe doctor appointment chahiye because I need help,doctor_booking
Kindly How can I stay active please,exercise_suggestion
Please What foods improve energy please,diet_suggestion
Can you Can you book cab for hospital today,transport_booking
Kindly I cannot sleep because of stress because I need help,emotional_support
Medicine khete bhule gechi for me,medication_reminder
Now Can elderly people do stretching today,exercise_suggestion
Hey suggest soft food for elderly please,diet_suggestion
Today Book transport for hospital visit as soon as possible,transport_booking
Kindly I need someone to talk to because I need help,emotional_support
Kindly I need medical consultation for me,doctor_booking
Urgently recommend simple exercise for me because i need help,exercise_suggestion
Recommend balanced diet please,diet_suggestion
Hey I need help reaching hospital for me,transport_booking
I miss my family,emotional_support
Can you When should I take insulin because I need help,medication_reminder
Kindly Mujhe doctor appointment chahiye today,doctor_booking
Please how can i stay active please,exercise_suggestion
Now Mujhe healthy diet chahiye,diet_suggestion
Help me travel to doctor clinic right now,transport_booking
Kindly Nobody talks to me anymore for me,emotional_support
Hey please remind me about medicines,medication_reminder
Hey I need medical consultation,doctor_booking
How can I improve nutrition,diet_suggestion
Can you Help me travel to doctor clinic today,transport_booking
Can you I feel emotionally weak right now,emotional_support
Now Medicine khete bhule gechi as soon as possible,medication_reminder
Kindly Book doctor appointment for me as soon as possible,doctor_booking
Please Mujhe exercise suggest karo today,exercise_suggestion
Urgently Suggest soft food for elderly as soon as possible,diet_suggestion
Transport arrange koro,transport_booking
Urgently I feel mentally stressed because I need help,emotional_support
Can you Mujhe medicine lena yaad dilao please,medication_reminder
Today please help me contact a doctor,doctor_booking
Now Recommend simple exercise for me please,exercise_suggestion
Today Book transport for hospital visit because I need help,transport_booking
Please remind me about medicines right now,medication_reminder
Can you Doctor appointment book koro as soon as possible,doctor_booking
Hey Suggest walking exercises because I need help,exercise_suggestion
Please how can i improve nutrition,diet_suggestion
Urgently I feel scared about my condition today,emotional_support
I missed my diabetes tablet as soon as possible,medication_reminder
Please I need a doctor consultation right now,doctor_booking
Urgently Recommend simple exercise for me as soon as possible,exercise_suggestion
Today Healthy khabar suggest koro,diet_suggestion
Hey transport arrange koro please,transport_booking
Now i am feeling emotionally down because i need help,emotional_support
Urgently I forgot to take my tablets as soon as possible,medication_reminder
Today I want to schedule a health checkup because I need help,doctor_booking
Today Recommend chair yoga for seniors right now,exercise_suggestion
Now I feel scared about my condition,emotional_support
Can you I forgot to take my tablets today,medication_reminder
Now How can I stay active for me,exercise_suggestion
Now mujhe healthy diet chahiye right now,diet_suggestion
Can you Help me arrange transportation today,transport_booking
Please Nobody talks to me anymore today,emotional_support
Please remind me about medicines,medication_reminder
Now i need medical consultation today,doctor_booking
Today Suggest walking exercises for me,exercise_suggestion
Please Suggest healthy food for elderly because I need help,diet_suggestion
Kindly Transport arrange koro for me,transport_booking
Urgently Nobody talks to me anymore as soon as possible,emotional_support
Kindly Mujhe medicine lena yaad dilao as soon as possible,medication_reminder
Now can you help me visit a doctor for me,doctor_booking
Kindly suggest yoga for elderly for me,exercise_suggestion
Please Healthy khabar suggest koro right now,diet_suggestion
Please book transport for hospital visit because i need help,transport_booking
I am feeling depressed today because I need help,emotional_support
Now When should I take insulin because I need help,medication_reminder
Now Can you help me visit a doctor,doctor_booking
Can you How can I stay active,exercise_suggestion
Hey healthy khabar suggest koro as soon as possible,diet_suggestion
Hey i need help reaching hospital because i need help,transport_booking
Can you I miss my family,emotional_support
Can you Please remind me to take my pills because I need help,medication_reminder
Urgently Please help me contact a doctor as soon as possible,doctor_booking
Urgently Suggest yoga for elderly as soon as possible,exercise_suggestion
Please What should I eat for good health for me,diet_suggestion
Mujhe hospital jane ke liye cab chahiye right now,transport_booking
Kindly I cannot sleep because of stress for me,emotional_support
Mujhe medicine lena yaad dilao,medication_reminder
Please Can you help me visit a doctor,doctor_booking
How can I improve mobility please,exercise_suggestion
Recommend nutrition plan today,diet_suggestion
Today Transport arrange koro for me,transport_booking
Hey I feel helpless today because I need help,emotional_support
Can you I need medicine reminder support today,medication_reminder
Kindly Suggest yoga for elderly right now,exercise_suggestion
What should i eat for good health as soon as possible,diet_suggestion
Now Can you book cab for hospital today,transport_booking
I feel helpless today for me,emotional_support
Please I forgot to take my tablets for me,medication_reminder
Today Exercise suggest koro,exercise_suggestion
How can i improve nutrition because i need help,diet_suggestion
Please Can you book cab for hospital as soon as possible,transport_booking
Today I am feeling nervous and anxious because I need help,emotional_support
Can you Mujhe medicine lena yaad dilao as soon as possible,medication_reminder
Hey I need medical consultation today,doctor_booking
Please Mujhe exercise suggest karo because I need help,exercise_suggestion
Suggest soft food for elderly because I need help,diet_suggestion
Please Book transport for hospital visit right now,transport_booking
Kindly i feel worried about my future because i need help,emotional_support
Today Mujhe medicine lena yaad dilao right now,medication_reminder
